"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000025203",18232.6441352228,2.72751365101056,0.116991598325369,23.3137566291298,3.21530008314329e-120,4.73728373788433e-118
"ENSMUSG00000026205",644.458088824443,4.91062657279622,0.210659396040552,23.3107407744154,3.44993690680387e-120,5.04768893676742e-118
"ENSMUSG00000053886",619.978419667677,3.46587581457975,0.148748050762174,23.3003108062314,4.40120221609518e-120,6.39509858557995e-118
"ENSMUSG00000028438",459.183865227987,-2.87829630614336,0.12381496291684,-23.2467565982033,1.53415688040177e-119,2.21391447350582e-117
"ENSMUSG00000022505",1836.91559096053,3.85460198125323,0.165864046440154,23.2395269739427,1.81544397233711e-119,2.6020128607599e-117
"ENSMUSG00000091705",270.316279001731,3.78322263081821,0.162876231760719,23.2275918341243,2.39680750912208e-119,3.41204982497926e-117
"ENSMUSG00000031906",532.85843628712,5.0439089392265,0.217835139368257,23.1547075180539,1.30337209391354e-118,1.84300313064862e-116
"ENSMUSG00000017446",2901.37543280902,-3.57376145581506,0.154479500469566,-23.1342116264748,2.09636196806841e-118,2.94455002034889e-116
"ENSMUSG00000025092",1073.2102271646,4.06707246016662,0.175852277646974,23.127778124838,2.43341067426074e-118,3.39533307920527e-116
"ENSMUSG00000068015",723.770986733048,-2.20206718605798,0.0955977879203859,-23.0347085843855,2.09360346719028e-117,2.90198233225211e-115
"ENSMUSG00000046352",13471.0623415107,-2.86543031183914,0.12467158545104,-22.983828283506,6.76531112050716e-117,9.31623137241603e-115
"ENSMUSG00000031274",1826.33373248805,5.04943026190769,0.219932787640385,22.95896994751,1.19881311277187e-116,1.62953506277358e-114
"ENSMUSG00000085998",20348.1395023767,-7.61906163520799,0.331853661463887,-22.9591007120381,1.19521261860797e-116,1.62953506277358e-114
"ENSMUSG00000089901",1619.88149602551,3.56931221285762,0.155488215461188,22.9555159680161,1.29793654219685e-116,1.75296314150932e-114
"ENSMUSG00000074489",2446.84163387833,3.57698850648198,0.156113131456939,22.9127971048907,3.46375229787487e-116,4.64826733528188e-114
"ENSMUSG00000060568",738.693544364183,-3.01910976760285,0.131811430868436,-22.9047643873641,4.16502201270747e-116,5.55397777124897e-114
"ENSMUSG00000040010",4004.254472467,-4.16061917167849,0.181671164433929,-22.9019238393864,4.44554807772097e-116,5.89077059430838e-114
